League: National Hockey League - Season: 2024-25              ,Date: 12.3.24
--------------------------------------------------------------
Regular Season
--------------------------------------------------------------
Name                                                          ,Team         ,Pos    ,GP,G ,A ,P ,+/-,PIM,PPg ,PPa  ,PPp,SHg,SHa,SHp,GWG ,GT,FG,EN,SOG,Sh  ,HT ,GA,TA,FO  ,SB,2 ,5,Mi,Ma,GM,FI,FW,ATOI ,APPT,APKT,+ ,- ,FS,Av R,
Jack Hughes                                                   ,New Jersey   ,C      ,26,10,18,28,13 ,4  ,3   ,9    ,12 ,0  ,0  ,0  ,2   ,1 ,2 ,0 ,71 ,14.1,61 ,10,15,0.49,20,2 ,0,0 ,0 ,0 ,0 ,0 ,19:59,4:02,2:20,19,6 ,2 ,7.58,
Teuvo Teräväinen                                              ,Carolina     ,C/LW   ,27,10,18,28,4  ,12 ,6   ,7    ,13 ,0  ,1  ,1  ,1   ,0 ,1 ,0 ,53 ,18.9,30 ,4 ,9 ,0.59,17,6 ,0,0 ,0 ,0 ,0 ,0 ,19:28,3:16,2:31,20,16,3 ,7.41,
Reilly Smith                                                  ,Vegas        ,RW/LW  ,29,16,11,27,3  ,10 ,6   ,2    ,8  ,0  ,1  ,1  ,5   ,0 ,1 ,0 ,95 ,16.8,47 ,15,8 ,0   ,27,5 ,0,0 ,0 ,0 ,0 ,0 ,19:12,2:42,2:11,24,21,4 ,7.59,
Evgeny Kuznetsov                                              ,Washington   ,C      ,28,14,13,27,6  ,4  ,9   ,2    ,11 ,0  ,1  ,1  ,2   ,0 ,3 ,0 ,80 ,17.5,60 ,8 ,13,0.56,27,2 ,0,0 ,0 ,0 ,0 ,0 ,19:04,3:29,2:38,23,17,1 ,7.64,
Filip Forsberg                                                ,Nashville    ,LW/RW  ,26,12,15,27,15 ,10 ,3   ,7    ,10 ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,99 ,12.1,91 ,11,23,0.28,29,5 ,0,0 ,0 ,0 ,0 ,0 ,19:45,3:45,2:59,27,12,3 ,8.12,
Mark Scheifele                                                ,Winnipeg     ,C      ,28,12,15,27,12 ,10 ,5   ,5    ,10 ,0  ,0  ,0  ,3   ,0 ,4 ,0 ,78 ,15.4,76 ,7 ,17,0.66,33,5 ,0,0 ,0 ,0 ,0 ,0 ,19:07,3:55,1:46,29,17,1 ,7.89,
Jesse Nurmela                                                 ,Dallas       ,RW     ,28,11,16,27,-4 ,20 ,5   ,3    ,8  ,0  ,0  ,0  ,2   ,1 ,6 ,0 ,94 ,11.7,92 ,9 ,5 ,0.00,22,10,0,0 ,0 ,0 ,0 ,0 ,18:45,2:52,2:12,22,26,3 ,7.71,
Alexander Holtz                                               ,Ottawa       ,RW/LW  ,28,9 ,18,27,11 ,4  ,0   ,5    ,5  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,132,6.8 ,61 ,9 ,0 ,0   ,11,2 ,0,0 ,0 ,0 ,0 ,0 ,17:56,3:42,0:00,31,20,2 ,7.86,
Chris Tierney                                                 ,Ottawa       ,C      ,28,5 ,22,27,19 ,10 ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,51 ,9.8 ,40 ,1 ,6 ,0.57,14,5 ,0,0 ,0 ,0 ,0 ,0 ,14:41,0:02,0:02,36,17,0 ,7.43,
Oliver Wahlstrom                                              ,NY Islanders ,RW/LW  ,26,15,11,26,17 ,16 ,3   ,2    ,5  ,0  ,0  ,0  ,1   ,0 ,4 ,0 ,81 ,18.5,79 ,11,12,0.00,24,8 ,0,0 ,0 ,0 ,0 ,0 ,17:46,2:37,2:32,25,8 ,4 ,8.00,
Nathan MacKinnon                                              ,Colorado     ,C      ,29,13,13,26,10 ,14 ,4   ,4    ,8  ,2  ,0  ,2  ,0   ,2 ,2 ,0 ,74 ,17.6,92 ,10,12,0.54,29,7 ,0,0 ,0 ,0 ,0 ,0 ,19:05,2:53,2:47,23,13,4 ,7.76,
Connor McDavid                                                ,Edmonton     ,C      ,30,11,15,26,15 ,12 ,3   ,5    ,8  ,1  ,0  ,1  ,1   ,0 ,2 ,0 ,79 ,13.9,61 ,7 ,24,0.53,22,6 ,0,0 ,0 ,0 ,0 ,0 ,19:39,3:54,3:02,25,10,3 ,7.53,
Phillip Danault                                               ,Ottawa       ,C      ,28,11,15,26,11 ,14 ,0   ,0    ,0  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,53 ,20.8,56 ,1 ,17,0.57,21,7 ,0,0 ,0 ,0 ,0 ,0 ,16:00,0:02,1:31,28,17,2 ,7.36,
Alex DeBrincat                                                ,Chicago      ,RW/LW  ,27,14,11,25,6  ,6  ,6   ,3    ,9  ,0  ,0  ,0  ,3   ,0 ,4 ,0 ,87 ,16.1,38 ,8 ,3 ,0.15,15,3 ,0,0 ,0 ,0 ,0 ,0 ,17:46,2:31,1:39,20,14,3 ,7.78,
Tyler Toffoli                                                 ,Los Angeles  ,RW     ,28,14,11,25,6  ,10 ,6   ,4    ,10 ,0  ,0  ,0  ,3   ,2 ,1 ,0 ,84 ,16.7,47 ,8 ,14,0.00,15,5 ,0,0 ,0 ,0 ,0 ,0 ,18:55,2:38,2:56,20,14,3 ,7.54,
Patrik Laine                                                  ,Colorado     ,RW/LW  ,29,13,12,25,8  ,4  ,3   ,2    ,5  ,0  ,0  ,0  ,5   ,0 ,2 ,0 ,91 ,14.3,97 ,10,9 ,0.33,18,2 ,0,0 ,0 ,0 ,0 ,0 ,17:35,2:06,1:04,27,19,6 ,7.93,
Bo Horvat                                                     ,Vancouver    ,C      ,29,11,14,25,10 ,20 ,1   ,4    ,5  ,0  ,0  ,0  ,4   ,0 ,1 ,0 ,61 ,18.0,82 ,10,25,0.60,38,10,0,0 ,0 ,0 ,0 ,0 ,19:18,2:47,3:21,25,15,1 ,7.34,
Benji Kucerovy                                                ,Ottawa       ,LW     ,23,10,15,25,13 ,2  ,4   ,3    ,7  ,0  ,0  ,0  ,5   ,0 ,2 ,0 ,68 ,14.7,47 ,1 ,1 ,0   ,5 ,1 ,0,0 ,0 ,0 ,0 ,0 ,18:10,4:07,0:00,25,12,3 ,7.91,
Elias Pettersson                                              ,Vancouver    ,C/RW   ,29,7 ,18,25,17 ,10 ,1   ,3    ,4  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,43 ,16.3,32 ,8 ,11,0.52,22,5 ,0,0 ,0 ,0 ,0 ,0 ,16:12,2:10,0:12,29,12,1 ,7.10,
Artturi Lehkonen                                              ,Los Angeles  ,LW/RW  ,28,7 ,18,25,4  ,21 ,3   ,5    ,8  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,78 ,9.0 ,45 ,3 ,2 ,0.10,8 ,8 ,1,0 ,0 ,0 ,0 ,0 ,17:36,2:55,0:51,19,15,2 ,7.57,
Mika Zibanejad                                                ,Vegas        ,C      ,29,6 ,19,25,17 ,8  ,3   ,3    ,6  ,0  ,1  ,1  ,1   ,0 ,0 ,0 ,59 ,10.2,103,12,19,0.63,25,4 ,0,0 ,0 ,0 ,0 ,0 ,19:37,3:10,3:18,29,12,2 ,7.66,
Alex Galchenyuk                                               ,Pittsburgh   ,LW/C/RW,29,15,9 ,24,10 ,16 ,6   ,2    ,8  ,0  ,0  ,0  ,2   ,1 ,1 ,0 ,94 ,16.0,56 ,10,11,0.14,18,8 ,0,0 ,0 ,0 ,0 ,0 ,17:12,2:28,0:39,24,14,2 ,7.76,
J.T. Miller                                                   ,Vancouver    ,RW/C/LW,29,13,11,24,10 ,22 ,3   ,3    ,6  ,0  ,0  ,0  ,2   ,1 ,2 ,0 ,81 ,16.0,87 ,15,4 ,0.19,37,11,0,0 ,0 ,0 ,0 ,0 ,18:37,2:03,3:15,23,13,3 ,7.69,
Nikita Gusev                                                  ,New Jersey   ,LW     ,26,12,12,24,5  ,7  ,5   ,7    ,12 ,0  ,0  ,0  ,4   ,0 ,4 ,0 ,78 ,15.4,47 ,12,1 ,0.14,11,1 ,1,0 ,0 ,0 ,0 ,0 ,19:02,4:02,0:48,15,10,2 ,7.81,
Yanni Gourde                                                  ,Tampa Bay    ,LW/RW/C,28,11,13,24,13 ,12 ,3   ,1    ,4  ,1  ,0  ,1  ,1   ,0 ,2 ,0 ,81 ,13.6,42 ,9 ,5 ,0.09,19,6 ,0,0 ,0 ,0 ,0 ,0 ,18:23,3:09,1:51,26,13,2 ,7.86,
Jakub Vrána                                                   ,Washington   ,LW/RW  ,28,7 ,17,24,9  ,12 ,2   ,6    ,8  ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,98 ,7.1 ,53 ,4 ,2 ,0.00,28,6 ,0,0 ,0 ,0 ,0 ,0 ,18:13,3:25,1:25,22,13,1 ,7.89,
Dylan Larkin                                                  ,Detroit      ,C      ,27,7 ,17,24,7  ,12 ,1   ,7    ,8  ,0  ,0  ,0  ,0   ,0 ,2 ,0 ,72 ,9.7 ,64 ,7 ,24,0.56,26,6 ,0,0 ,0 ,0 ,0 ,0 ,18:54,3:09,2:37,25,18,2 ,7.59,
Tanner Pearson                                                ,Vancouver    ,LW     ,29,13,10,23,15 ,24 ,4   ,1    ,5  ,0  ,0  ,0  ,3   ,0 ,3 ,0 ,64 ,20.3,80 ,8 ,6 ,0.38,17,12,0,0 ,0 ,0 ,0 ,0 ,16:04,2:02,0:28,26,11,2 ,7.83,
Jack Eichel                                                   ,Buffalo      ,C      ,28,12,11,23,13 ,8  ,4   ,3    ,7  ,0  ,0  ,0  ,3   ,1 ,3 ,0 ,71 ,16.9,63 ,10,13,0.48,29,4 ,0,0 ,0 ,0 ,0 ,0 ,19:55,3:16,3:34,25,12,3 ,7.29,
Brandon Saad                                                  ,Chicago      ,LW     ,27,11,12,23,3  ,10 ,4   ,6    ,10 ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,90 ,12.2,74 ,16,8 ,0.11,21,5 ,0,0 ,0 ,0 ,0 ,0 ,19:06,2:38,3:05,16,13,0 ,7.78,
Anze Kopitar                                                  ,Los Angeles  ,C      ,28,9 ,14,23,8  ,18 ,3   ,7    ,10 ,0  ,0  ,0  ,1   ,0 ,3 ,0 ,78 ,11.5,54 ,11,33,0.64,23,9 ,0,0 ,0 ,0 ,0 ,0 ,19:13,2:55,2:49,20,12,1 ,7.14,
Steven Stamkos                                                ,Tampa Bay    ,C      ,28,8 ,15,23,12 ,14 ,2   ,4    ,6  ,0  ,0  ,0  ,5   ,0 ,3 ,0 ,64 ,12.5,44 ,7 ,5 ,0.57,28,7 ,0,0 ,0 ,0 ,0 ,0 ,19:14,3:02,2:44,25,13,1 ,7.21,
Aleksander Barkov                                             ,Florida      ,C      ,25,7 ,16,23,5  ,6  ,5   ,4    ,9  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,75 ,9.3 ,96 ,4 ,24,0.59,35,3 ,0,0 ,0 ,0 ,0 ,0 ,19:24,3:04,2:31,17,12,2 ,7.92,
Erik Karlsson                                                 ,San Jose     ,RD     ,29,4 ,19,23,1  ,2  ,1   ,7    ,8  ,0  ,1  ,1  ,1   ,0 ,0 ,0 ,75 ,5.3 ,59 ,16,30,0   ,50,1 ,0,0 ,0 ,0 ,0 ,0 ,25:01,2:00,3:26,25,24,1 ,7.66,
Alex Tuch                                                     ,Vegas        ,RW     ,29,13,9 ,22,4  ,16 ,1   ,2    ,3  ,0  ,1  ,1  ,1   ,0 ,2 ,0 ,66 ,19.7,100,12,11,0.00,20,8 ,0,0 ,0 ,0 ,0 ,0 ,15:53,1:24,0:39,20,16,1 ,7.76,
Sam Reinhart                                                  ,Buffalo      ,RW/C   ,28,11,11,22,9  ,8  ,3   ,1    ,4  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,69 ,15.9,64 ,8 ,9 ,0.14,33,4 ,0,0 ,0 ,0 ,0 ,0 ,19:36,3:18,2:55,23,14,1 ,7.71,
Sidney Crosby                                                 ,Pittsburgh   ,C      ,29,11,11,22,6  ,16 ,3   ,1    ,4  ,1  ,0  ,1  ,1   ,0 ,1 ,0 ,53 ,20.8,69 ,13,13,0.60,24,8 ,0,0 ,0 ,0 ,0 ,0 ,19:00,2:19,2:53,26,20,0 ,7.24,
Anders Lee                                                    ,NY Islanders ,LW     ,26,10,12,22,15 ,4  ,3   ,1    ,4  ,0  ,0  ,0  ,2   ,0 ,4 ,0 ,68 ,14.7,87 ,16,17,0.06,34,2 ,0,0 ,0 ,0 ,0 ,0 ,18:34,2:41,3:27,29,14,3 ,8.08,
