League: National Hockey League - Season: 2024-25              ,Date: 12.3.24
--------------------------------------------------------------
Regular Season
--------------------------------------------------------------
Name                                                          ,Team         ,Pos    ,GP,G ,A ,P ,+/-,PIM,PPg ,PPa  ,PPp,SHg,SHa,SHp,GWG ,GT,FG,EN,SOG,Sh  ,HT ,GA,TA,FO  ,SB,2 ,5,Mi,Ma,GM,FI,FW,ATOI ,APPT,APKT,+ ,- ,FS,Av R,
Timo Meier                                                    ,San Jose     ,LW/RW  ,29,9 ,11,20,-1 ,10 ,3   ,2    ,5  ,1  ,2  ,3  ,2   ,0 ,3 ,0 ,99 ,9.1 ,88 ,16,15,0.24,28,5 ,0,0 ,0 ,0 ,0 ,0 ,19:12,2:10,3:19,22,23,2 ,7.66,
Nick Schmaltz                                                 ,Calgary      ,C      ,29,9 ,11,20,1  ,14 ,4   ,2    ,6  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,56 ,16.1,29 ,6 ,6 ,0.54,13,7 ,0,0 ,0 ,0 ,0 ,0 ,15:54,2:31,0:16,20,19,0 ,6.83,
Kevin Labanc                                                  ,San Jose     ,RW/LW  ,29,9 ,11,20,0  ,14 ,3   ,3    ,6  ,1  ,0  ,1  ,2   ,1 ,3 ,0 ,55 ,16.4,58 ,8 ,3 ,0.21,34,7 ,0,0 ,0 ,0 ,0 ,0 ,18:44,2:02,2:41,22,22,2 ,7.48,
Lias Andersson                                                ,Colorado     ,LW/C   ,29,9 ,11,20,6  ,28 ,1   ,1    ,2  ,0  ,1  ,1  ,1   ,0 ,0 ,0 ,53 ,17.0,53 ,5 ,4 ,0.22,19,14,0,0 ,0 ,0 ,0 ,0 ,16:45,1:50,1:02,25,19,1 ,6.59,
Kyle Palmieri                                                 ,New Jersey   ,RW     ,26,8 ,12,20,10 ,8  ,6   ,4    ,10 ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,82 ,9.8 ,52 ,7 ,10,0.06,18,4 ,0,0 ,0 ,0 ,0 ,0 ,19:36,4:06,2:16,17,7 ,2 ,7.38,
Mikhail Abramov                                               ,Toronto      ,RW/C   ,30,8 ,12,20,11 ,10 ,2   ,2    ,4  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,50 ,16.0,39 ,7 ,0 ,0   ,7 ,5 ,0,0 ,0 ,0 ,0 ,0 ,15:38,2:32,0:07,24,13,1 ,7.30,
Sean Couturier                                                ,Philadelphia ,C      ,27,7 ,13,20,3  ,12 ,3   ,3    ,6  ,1  ,0  ,1  ,1   ,0 ,4 ,0 ,46 ,15.2,52 ,7 ,28,0.61,36,6 ,0,0 ,0 ,0 ,0 ,0 ,19:00,2:59,2:51,17,14,1 ,7.30,
Kevin Hayes                                                   ,Dallas       ,C/LW   ,27,7 ,13,20,-6 ,13 ,4   ,4    ,8  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,42 ,16.7,63 ,3 ,5 ,0.55,18,4 ,1,0 ,0 ,0 ,0 ,0 ,16:31,3:00,0:06,16,22,0 ,6.89,
Sami Vatanen                                                  ,Detroit      ,RD     ,28,3 ,17,20,-1 ,4  ,1   ,6    ,7  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,46 ,6.5 ,40 ,14,16,0   ,58,2 ,0,0 ,0 ,0 ,0 ,0 ,24:32,3:21,2:51,29,30,0 ,7.57,
P.K. Subban                                                   ,New Jersey   ,RD/LD  ,26,3 ,17,20,0  ,14 ,2   ,7    ,9  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,58 ,5.2 ,71 ,14,10,0   ,52,7 ,0,0 ,0 ,0 ,0 ,0 ,25:17,4:20,2:34,21,21,3 ,7.81,
Ryan Murray                                                   ,Pittsburgh   ,LD/RD  ,29,1 ,19,20,1  ,10 ,0   ,5    ,5  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,59 ,1.7 ,59 ,17,23,0   ,55,5 ,0,0 ,0 ,0 ,0 ,0 ,23:22,2:16,2:16,29,28,2 ,7.72,
Evgeny Dadonov                                                ,Carolina     ,RW/LW  ,24,10,9 ,19,1  ,11 ,5   ,1    ,6  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,98 ,10.2,38 ,8 ,4 ,0.00,11,3 ,1,0 ,0 ,0 ,0 ,0 ,17:57,3:05,0:53,18,17,1 ,7.50,
Tyler Johnson                                                 ,Dallas       ,RW/C   ,21,9 ,10,19,13 ,6  ,1   ,2    ,3  ,0  ,0  ,0  ,1   ,0 ,4 ,0 ,70 ,12.9,30 ,3 ,4 ,0.22,12,3 ,0,0 ,0 ,0 ,0 ,0 ,16:56,3:25,0:37,20,7 ,2 ,7.86,
Brock Boeser                                                  ,Vancouver    ,RW     ,29,9 ,10,19,12 ,14 ,3   ,2    ,5  ,0  ,0  ,0  ,0   ,1 ,1 ,0 ,79 ,11.4,43 ,5 ,4 ,0.03,21,7 ,0,0 ,0 ,0 ,0 ,0 ,18:36,2:49,2:07,24,12,0 ,7.31,
Jordan Eberle                                                 ,Montreal     ,RW     ,29,9 ,10,19,0  ,28 ,3   ,3    ,6  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,70 ,12.9,44 ,5 ,9 ,0   ,16,9 ,0,1 ,0 ,0 ,0 ,0 ,15:29,2:15,0:12,18,18,2 ,7.31,
Sonny Milano                                                  ,Philadelphia ,LW/RW  ,27,7 ,12,19,0  ,8  ,3   ,5    ,8  ,0  ,0  ,0  ,1   ,1 ,2 ,0 ,63 ,11.1,47 ,5 ,3 ,0   ,8 ,4 ,0,0 ,0 ,0 ,0 ,0 ,16:17,2:55,0:12,15,15,0 ,7.37,
Martin Necas                                                  ,Florida      ,C/RW   ,24,7 ,12,19,13 ,12 ,3   ,4    ,7  ,0  ,0  ,0  ,3   ,0 ,2 ,0 ,57 ,12.3,38 ,4 ,3 ,0.25,8 ,6 ,0,0 ,0 ,0 ,0 ,0 ,15:56,2:55,0:02,21,8 ,2 ,7.71,
Gabriel Landeskog                                             ,Colorado     ,LW     ,29,5 ,14,19,5  ,16 ,1   ,7    ,8  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,81 ,6.2 ,113,4 ,19,0.17,27,8 ,0,0 ,0 ,0 ,0 ,0 ,18:55,2:49,2:18,15,10,1 ,7.86,
Samuel Girard                                                 ,Colorado     ,LD/RD  ,29,4 ,15,19,3  ,4  ,2   ,8    ,10 ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,41 ,9.8 ,46 ,11,8 ,0   ,52,2 ,0,0 ,0 ,0 ,0 ,0 ,23:17,3:06,2:17,22,19,0 ,7.52,
Anthony Mantha                                                ,Detroit      ,RW/LW  ,20,11,7 ,18,11 ,4  ,2   ,1    ,3  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,85 ,12.9,61 ,11,4 ,0.47,20,2 ,0,0 ,0 ,0 ,0 ,0 ,18:52,2:58,3:02,18,7 ,3 ,8.15,
Josh Anderson                                                 ,Edmonton     ,RW     ,27,11,7 ,18,12 ,45 ,4   ,1    ,5  ,0  ,0  ,0  ,1   ,0 ,3 ,0 ,72 ,15.3,99 ,8 ,7 ,0.08,13,10,1,1 ,0 ,1 ,0 ,0 ,14:51,1:37,1:33,17,5 ,1 ,7.63,
Jonathan Huberdeau                                            ,Florida      ,LW     ,24,9 ,9 ,18,4  ,8  ,1   ,3    ,4  ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,58 ,15.5,55 ,5 ,5 ,0   ,13,4 ,0,0 ,0 ,0 ,0 ,0 ,18:39,2:37,2:01,17,13,2 ,7.88,
Sven Andrighetto                                              ,Detroit      ,RW/LW  ,28,9 ,9 ,18,5  ,12 ,2   ,1    ,3  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,64 ,14.1,45 ,7 ,2 ,0   ,10,6 ,0,0 ,0 ,0 ,0 ,0 ,16:50,2:45,0:12,22,17,1 ,7.32,
Leon Draisaitl                                                ,Edmonton     ,LW/C/RW,30,9 ,9 ,18,11 ,14 ,4   ,4    ,8  ,0  ,1  ,1  ,1   ,0 ,0 ,0 ,68 ,13.2,83 ,12,14,0.17,27,7 ,0,0 ,0 ,0 ,0 ,0 ,19:30,3:53,2:42,24,13,2 ,7.67,
Jake Guentzel                                                 ,Pittsburgh   ,RW/LW/C,26,7 ,11,18,1  ,4  ,0   ,5    ,5  ,0  ,0  ,0  ,1   ,1 ,3 ,0 ,59 ,11.9,33 ,12,3 ,0.17,36,2 ,0,0 ,0 ,0 ,0 ,0 ,18:50,2:10,2:44,19,18,1 ,7.46,
Kirill Kaprizov                                               ,Minnesota    ,LW/RW  ,27,7 ,11,18,0  ,6  ,3   ,1    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,80 ,8.8 ,81 ,14,1 ,0.00,25,3 ,0,0 ,0 ,0 ,0 ,0 ,17:51,2:51,1:57,17,17,1 ,7.52,
Boone Jenner                                                  ,Arizona      ,C/LW   ,23,7 ,11,18,8  ,21 ,2   ,1    ,3  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,55 ,12.7,56 ,7 ,10,0.59,20,8 ,1,0 ,0 ,0 ,1 ,0 ,17:33,2:04,2:30,20,12,2 ,7.22,
Zac Scott                                                     ,Washington   ,RW/C   ,28,7 ,11,18,1  ,53 ,0   ,0    ,0  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,45 ,15.6,36 ,5 ,3 ,0.00,14,14,1,2 ,0 ,0 ,1 ,0 ,13:03,0:00,0:27,23,22,2 ,7.11,
Cam Atkinson                                                  ,NY Islanders ,RW     ,26,6 ,12,18,0  ,8  ,3   ,0    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,69 ,8.7 ,47 ,7 ,0 ,0.07,7 ,4 ,0,0 ,0 ,0 ,0 ,0 ,15:54,2:26,1:06,19,19,1 ,7.50,
Joni Mäkitalo                                                 ,Ottawa       ,LW     ,28,5 ,13,18,-7 ,10 ,1   ,9    ,10 ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,60 ,8.3 ,77 ,4 ,1 ,0.13,4 ,5 ,0,0 ,0 ,0 ,0 ,0 ,15:50,3:47,0:00,14,21,1 ,7.25,
Dominik Kahun                                                 ,Boston       ,C/LW   ,27,5 ,13,18,1  ,20 ,3   ,3    ,6  ,0  ,0  ,0  ,2   ,0 ,2 ,0 ,48 ,10.4,26 ,7 ,6 ,0.59,25,5 ,0,1 ,0 ,0 ,0 ,0 ,15:46,2:13,0:03,16,15,0 ,7.07,
Brendan Perlini                                               ,Chicago      ,LW/RW  ,24,9 ,8 ,17,-4 ,8  ,2   ,2    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,63 ,14.3,79 ,10,4 ,0   ,27,4 ,0,0 ,0 ,0 ,0 ,0 ,17:42,2:06,1:45,16,20,0 ,7.75,
Jakob Pelletier                                               ,Washington   ,LW     ,27,8 ,9 ,17,1  ,2  ,2   ,2    ,4  ,0  ,0  ,0  ,2   ,0 ,0 ,0 ,46 ,17.4,34 ,6 ,1 ,0.00,5 ,1 ,0,0 ,0 ,0 ,0 ,0 ,13:03,1:05,0:01,15,14,2 ,7.33,
Nikolaj Ehlers                                                ,Winnipeg     ,LW/RW  ,28,8 ,9 ,17,-6 ,6  ,1   ,3    ,4  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,72 ,11.1,49 ,11,6 ,0.00,13,3 ,0,0 ,0 ,0 ,0 ,0 ,17:38,3:04,0:40,18,24,2 ,7.36,
Micheal Ferland                                               ,Anaheim      ,LW/RW  ,28,8 ,9 ,17,-1 ,14 ,1   ,2    ,3  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,67 ,11.9,112,11,13,0.00,10,7 ,0,0 ,0 ,0 ,0 ,0 ,18:20,2:04,2:18,17,18,3 ,7.43,
Kasperi Kapanen                                               ,Columbus     ,RW/LW  ,27,7 ,10,17,-4 ,8  ,1   ,2    ,3  ,1  ,0  ,1  ,2   ,1 ,1 ,0 ,62 ,11.3,35 ,10,6 ,0.00,18,4 ,0,0 ,0 ,0 ,0 ,0 ,17:04,2:21,1:02,14,18,2 ,7.26,
Tomás Tatár                                                   ,Montreal     ,LW/RW  ,29,6 ,11,17,-2 ,8  ,2   ,5    ,7  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,76 ,7.9 ,64 ,5 ,6 ,0.00,15,4 ,0,0 ,0 ,0 ,0 ,0 ,17:37,3:03,1:08,19,21,2 ,7.41,
Nico Hischier                                                 ,New Jersey   ,C      ,26,6 ,11,17,1  ,14 ,3   ,2    ,5  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,49 ,12.2,41 ,5 ,8 ,0.52,14,7 ,0,0 ,0 ,0 ,0 ,0 ,18:30,2:02,1:22,18,17,0 ,6.54,
Kailer Yamamoto                                               ,Edmonton     ,RW     ,28,6 ,11,17,6  ,16 ,1   ,4    ,5  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,66 ,9.1 ,14 ,2 ,3 ,0.25,7 ,8 ,0,0 ,0 ,0 ,0 ,0 ,16:57,4:02,0:14,18,12,2 ,7.21,
Jesperi Kotkaniemi                                            ,Montreal     ,C      ,29,6 ,11,17,-4 ,22 ,1   ,3    ,4  ,1  ,0  ,1  ,1   ,0 ,0 ,0 ,57 ,10.5,67 ,12,7 ,0.47,29,11,0,0 ,0 ,0 ,0 ,0 ,19:10,3:02,3:12,17,21,1 ,6.59,
Tyler Johansen                                                ,NY Islanders ,C      ,26,6 ,11,17,-7 ,40 ,0   ,1    ,1  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,28 ,21.4,54 ,11,8 ,0.45,22,15,0,1 ,0 ,0 ,0 ,0 ,16:06,0:27,2:00,19,26,1 ,6.46,
Noah Hanifin                                                  ,Montreal     ,LD     ,29,5 ,12,17,1  ,12 ,1   ,3    ,4  ,0  ,1  ,1  ,1   ,0 ,1 ,0 ,55 ,9.1 ,68 ,17,31,0   ,79,6 ,0,0 ,0 ,0 ,0 ,0 ,25:35,3:22,3:33,30,29,1 ,7.69,
Evan Vierling                                                 ,Ottawa       ,C/LW   ,28,5 ,12,17,-4 ,12 ,1   ,5    ,6  ,0  ,0  ,0  ,1   ,1 ,1 ,0 ,44 ,11.4,23 ,4 ,1 ,0.50,6 ,6 ,0,0 ,0 ,0 ,0 ,0 ,15:32,3:40,0:00,14,18,0 ,6.79,
Ondrej Palát                                                  ,Tampa Bay    ,LW     ,28,4 ,13,17,5  ,10 ,1   ,2    ,3  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,41 ,9.8 ,43 ,3 ,8 ,0   ,14,5 ,0,0 ,0 ,0 ,0 ,0 ,15:10,1:08,0:31,19,14,2 ,7.39,
Ryan Suter                                                    ,Minnesota    ,LD     ,27,3 ,14,17,1  ,4  ,1   ,6    ,7  ,0  ,0  ,0  ,2   ,0 ,0 ,0 ,37 ,8.1 ,56 ,18,21,0   ,71,2 ,0,0 ,0 ,0 ,0 ,0 ,22:15,2:55,3:09,24,23,2 ,7.67,
Matthew Tkachuk                                               ,Calgary      ,LW     ,29,3 ,14,17,-3 ,22 ,1   ,2    ,3  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,67 ,4.5 ,95 ,5 ,19,0   ,20,11,0,0 ,0 ,0 ,0 ,0 ,17:15,2:25,2:03,18,21,3 ,7.59,
Kris Letang                                                   ,Pittsburgh   ,RD/LD  ,29,1 ,16,17,-9 ,12 ,0   ,10   ,10 ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,65 ,1.5 ,60 ,8 ,24,0   ,53,6 ,0,0 ,0 ,0 ,0 ,0 ,24:41,2:19,3:16,21,30,1 ,7.41,
Juuso Välimäki                                                ,Calgary      ,LD/RD  ,29,1 ,16,17,-1 ,20 ,0   ,7    ,7  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,55 ,1.8 ,63 ,16,16,0   ,41,10,0,0 ,0 ,0 ,0 ,0 ,24:14,2:40,2:51,29,30,1 ,7.34,
Claude Giroux                                                 ,Philadelphia ,RW/C/LW,27,11,5 ,16,2  ,4  ,4   ,2    ,6  ,0  ,0  ,0  ,1   ,1 ,0 ,0 ,68 ,16.2,37 ,8 ,2 ,0.38,47,2 ,0,0 ,0 ,0 ,0 ,0 ,18:57,3:03,2:37,15,13,3 ,7.59,
Adam Henrique                                                 ,NY Rangers   ,C      ,27,10,6 ,16,-2 ,10 ,2   ,0    ,2  ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,64 ,15.6,50 ,6 ,9 ,0.55,24,5 ,0,0 ,0 ,0 ,0 ,0 ,18:29,2:00,2:15,15,17,2 ,6.67,
Danton Heinen                                                 ,Florida      ,LW/C/RW,25,9 ,7 ,16,3  ,5  ,3   ,1    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,60 ,15.0,77 ,8 ,11,0.40,13,0 ,1,0 ,0 ,0 ,0 ,0 ,17:21,2:52,0:44,15,12,0 ,7.64,
André Burakovsky                                              ,Colorado     ,LW/RW  ,25,9 ,7 ,16,2  ,8  ,1   ,1    ,2  ,0  ,0  ,0  ,0   ,1 ,0 ,0 ,60 ,15.0,48 ,5 ,2 ,0.00,8 ,4 ,0,0 ,0 ,0 ,0 ,0 ,15:00,1:19,0:07,18,16,1 ,7.60,
Jonathan Toews                                                ,St. Louis    ,C      ,29,8 ,8 ,16,-10,20 ,1   ,3    ,4  ,1  ,0  ,1  ,3   ,0 ,2 ,0 ,70 ,11.4,55 ,4 ,27,0.58,27,10,0,0 ,0 ,0 ,0 ,0 ,18:38,2:55,2:38,17,27,2 ,6.62,
Evander Kane                                                  ,San Jose     ,LW     ,29,8 ,8 ,16,-4 ,48 ,3   ,1    ,4  ,0  ,0  ,0  ,4   ,0 ,3 ,0 ,62 ,12.9,86 ,8 ,5 ,0   ,20,14,0,2 ,0 ,0 ,0 ,0 ,17:35,2:16,1:04,14,18,1 ,7.21,
Jake Debrusk                                                  ,Boston       ,LW/RW  ,26,7 ,9 ,16,5  ,10 ,1   ,2    ,3  ,0  ,0  ,0  ,2   ,2 ,2 ,0 ,65 ,10.8,32 ,8 ,3 ,0.00,14,5 ,0,0 ,0 ,0 ,0 ,0 ,17:30,2:16,1:13,16,11,0 ,7.08,
Jordan Kyrou                                                  ,St. Louis    ,RW/C   ,29,7 ,9 ,16,2  ,22 ,1   ,2    ,3  ,0  ,0  ,0  ,3   ,0 ,1 ,0 ,65 ,10.8,27 ,6 ,3 ,0.14,22,6 ,0,1 ,0 ,0 ,0 ,0 ,17:35,2:41,1:05,19,17,2 ,7.21,
Jesper Bratt                                                  ,New Jersey   ,RW/LW  ,21,6 ,10,16,1  ,8  ,2   ,2    ,4  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,38 ,15.8,17 ,9 ,1 ,0   ,11,4 ,0,0 ,0 ,0 ,0 ,0 ,17:26,2:08,0:21,17,16,1 ,7.24,
John Klingberg                                                ,Dallas       ,RD/LD  ,27,3 ,13,16,14 ,4  ,0   ,5    ,5  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,60 ,5.0 ,38 ,10,22,0   ,46,2 ,0,0 ,0 ,0 ,0 ,0 ,23:51,3:15,2:52,31,17,2 ,7.78,
Jared Spurgeon                                                ,Minnesota    ,RD/LD  ,27,2 ,14,16,-3 ,6  ,1   ,6    ,7  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,46 ,4.3 ,24 ,15,11,0   ,60,3 ,0,0 ,0 ,0 ,0 ,0 ,24:46,2:55,2:41,21,24,0 ,7.41,
John Carlson                                                  ,Washington   ,RD/LD  ,28,2 ,14,16,-2 ,12 ,0   ,7    ,7  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,50 ,4.0 ,55 ,15,14,0   ,53,6 ,0,0 ,0 ,0 ,0 ,0 ,24:15,3:42,2:49,19,21,1 ,7.68,
Tyrone DiFruscia                                              ,Colorado     ,LW     ,28,1 ,15,16,9  ,0  ,0   ,0    ,0  ,0  ,0  ,0  ,0   ,1 ,0 ,0 ,26 ,3.8 ,30 ,1 ,5 ,0   ,2 ,0 ,0,0 ,0 ,0 ,0 ,0 ,11:49,0:01,0:00,22,13,1 ,7.21,
Jakob Silfverberg                                             ,Florida      ,RW/LW  ,25,8 ,7 ,15,2  ,4  ,2   ,1    ,3  ,0  ,0  ,0  ,3   ,0 ,2 ,0 ,62 ,12.9,74 ,9 ,13,0.00,24,2 ,0,0 ,0 ,0 ,0 ,0 ,18:33,2:00,2:20,18,16,2 ,7.44,
Frank Vatrano                                                 ,Boston       ,RW/LW/C,26,8 ,7 ,15,2  ,12 ,3   ,2    ,5  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,62 ,12.9,55 ,13,3 ,0   ,16,1 ,0,1 ,0 ,0 ,0 ,0 ,14:55,1:47,0:00,14,12,2 ,7.38,
Vladimir Tarasenko                                            ,St. Louis    ,RW     ,28,8 ,7 ,15,-6 ,23 ,3   ,2    ,5  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,97 ,8.2 ,100,16,13,0.00,21,4 ,1,0 ,0 ,1 ,0 ,0 ,18:57,3:15,2:41,14,20,1 ,7.46,
Ilya Mikheyev                                                 ,Philadelphia ,LW/RW  ,27,7 ,8 ,15,-16,8  ,2   ,4    ,6  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,70 ,10.0,33 ,8 ,1 ,0.00,14,4 ,0,0 ,0 ,0 ,0 ,0 ,15:41,3:06,0:04,11,27,1 ,7.00,
Sam Bennett                                                   ,Montreal     ,C/LW/RW,28,7 ,8 ,15,-4 ,12 ,1   ,2    ,3  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,43 ,16.3,48 ,1 ,0 ,0.43,5 ,6 ,0,0 ,0 ,0 ,0 ,0 ,12:23,1:21,0:00,16,20,1 ,7.11,
Ryan Ryan                                                     ,Los Angeles  ,LW/RW  ,27,7 ,8 ,15,0  ,14 ,0   ,3    ,3  ,0  ,0  ,0  ,2   ,1 ,1 ,0 ,33 ,21.2,72 ,6 ,2 ,0.10,7 ,7 ,0,0 ,0 ,0 ,0 ,0 ,13:26,0:28,0:35,14,14,2 ,7.30,
Luke Toporowski                                               ,St. Louis    ,LW/RW  ,28,7 ,8 ,15,2  ,28 ,0   ,1    ,1  ,0  ,0  ,0  ,0   ,0 ,2 ,0 ,52 ,13.5,82 ,3 ,2 ,0   ,7 ,4 ,2,1 ,0 ,0 ,2 ,0 ,14:24,1:44,0:08,17,15,1 ,7.39,
Arron Quillan                                                 ,St. Louis    ,C      ,29,7 ,8 ,15,-2 ,38 ,0   ,0    ,0  ,0  ,0  ,0  ,2   ,0 ,1 ,0 ,33 ,21.2,66 ,2 ,2 ,0.37,8 ,19,0,0 ,0 ,0 ,0 ,0 ,13:47,0:14,0:03,17,19,0 ,6.31,
Rickard Rakell                                                ,Anaheim      ,LW/C/RW,28,6 ,9 ,15,9  ,4  ,1   ,3    ,4  ,0  ,0  ,0  ,2   ,0 ,3 ,0 ,74 ,8.1 ,62 ,18,7 ,0.14,19,2 ,0,0 ,0 ,0 ,0 ,0 ,19:12,2:06,2:56,19,10,0 ,7.39,
Shane Pinto                                                   ,Ottawa       ,RW/LW  ,28,6 ,9 ,15,-7 ,6  ,2   ,1    ,3  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,86 ,7.0 ,71 ,3 ,5 ,0   ,9 ,3 ,0,0 ,0 ,0 ,0 ,0 ,15:49,3:39,0:00,14,21,2 ,7.32,
Judd Caulfield                                                ,Pittsburgh   ,RW/LW  ,29,6 ,9 ,15,-1 ,14 ,1   ,0    ,1  ,0  ,1  ,1  ,1   ,0 ,2 ,0 ,37 ,16.2,88 ,9 ,4 ,0.00,20,7 ,0,0 ,0 ,0 ,0 ,0 ,15:06,0:08,1:32,23,24,0 ,7.24,
William Karlsson                                              ,Vegas        ,C      ,21,5 ,10,15,7  ,4  ,1   ,2    ,3  ,0  ,0  ,0  ,1   ,0 ,0 ,0 ,30 ,16.7,25 ,4 ,11,0.54,26,2 ,0,0 ,0 ,0 ,0 ,0 ,18:06,1:54,2:10,18,11,1 ,6.81,
Joonas Donskoi                                                ,Colorado     ,RW/LW  ,29,5 ,10,15,5  ,6  ,0   ,2    ,2  ,0  ,0  ,0  ,1   ,0 ,2 ,0 ,36 ,13.9,34 ,11,6 ,0.06,9 ,3 ,0,0 ,0 ,0 ,0 ,0 ,12:37,0:33,0:02,18,13,0 ,7.17,
Andreas Athanasiou                                            ,Detroit      ,C/LW/RW,28,5 ,10,15,-3 ,8  ,1   ,3    ,4  ,0  ,0  ,0  ,0   ,1 ,1 ,0 ,79 ,6.3 ,39 ,6 ,4 ,0.52,21,4 ,0,0 ,0 ,0 ,0 ,0 ,17:03,2:17,0:47,20,23,1 ,6.75,
Oliver Bjørkstrand                                            ,Winnipeg     ,RW/LW  ,28,5 ,10,15,-9 ,10 ,1   ,3    ,4  ,0  ,0  ,0  ,0   ,1 ,1 ,0 ,72 ,6.9 ,31 ,6 ,3 ,0   ,5 ,5 ,0,0 ,0 ,0 ,0 ,0 ,17:48,2:40,0:05,11,20,1 ,7.11,
Erik Brännström                                               ,Ottawa       ,RD     ,28,4 ,11,15,8  ,4  ,2   ,1    ,3  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,59 ,6.8 ,56 ,11,18,0   ,43,2 ,0,0 ,0 ,0 ,0 ,0 ,22:32,3:48,1:49,31,23,0 ,7.64,
Mattias Janmark                                               ,Dallas       ,LW/C/RW,21,4 ,11,15,0  ,10 ,1   ,3    ,4  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,43 ,9.3 ,38 ,6 ,3 ,0.24,1 ,5 ,0,0 ,0 ,0 ,0 ,0 ,16:05,3:03,0:31,14,14,0 ,7.43,
Nazem Kadri                                                   ,Carolina     ,C      ,29,4 ,11,15,-8 ,12 ,1   ,2    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,35 ,11.4,35 ,4 ,19,0.56,27,6 ,0,0 ,0 ,0 ,0 ,0 ,12:53,0:33,0:33,11,19,0 ,6.66,
Brad McGrew                                                   ,Columbus     ,LW     ,28,4 ,11,15,-2 ,36 ,2   ,1    ,3  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,48 ,8.3 ,99 ,12,2 ,0   ,9 ,13,0,1 ,0 ,0 ,0 ,0 ,14:21,1:04,0:04,13,15,1 ,7.29,
Morgan Rielly                                                 ,Toronto      ,LD/RD  ,30,3 ,12,15,4  ,4  ,2   ,5    ,7  ,0  ,0  ,0  ,0   ,0 ,0 ,0 ,76 ,3.9 ,82 ,16,39,0   ,68,2 ,0,0 ,0 ,0 ,0 ,0 ,25:42,3:23,2:26,28,24,3 ,7.80,
Kevin Shattenkirk                                             ,Chicago      ,RD     ,26,3 ,12,15,-8 ,8  ,1   ,6    ,7  ,0  ,0  ,0  ,0   ,1 ,0 ,0 ,38 ,7.9 ,59 ,10,6 ,0   ,49,4 ,0,0 ,0 ,0 ,0 ,0 ,22:31,2:34,1:14,21,29,1 ,7.31,
Rasmus Dahlin                                                 ,Ottawa       ,LD     ,28,3 ,12,15,4  ,10 ,3   ,4    ,7  ,0  ,0  ,0  ,1   ,0 ,1 ,0 ,60 ,5.0 ,76 ,7 ,8 ,0   ,54,5 ,0,0 ,0 ,0 ,0 ,0 ,22:42,3:30,2:14,28,24,2 ,7.93,
Evgeni Malkin                                                 ,Minnesota    ,C      ,27,3 ,12,15,2  ,24 ,0   ,4    ,4  ,0  ,0  ,0  ,0   ,0 ,1 ,0 ,48 ,6.3 ,51 ,7 ,14,0.57,25,12,0,0 ,0 ,0 ,0 ,0 ,18:40,3:08,2:15,22,20,0 ,6.85,
