Name,Year,Team,Pos,GP,W,L,T,SHA,GA,GAA,SV,SO,G,A,PIM,TOI,
Griffen Outhouse,2020,Canucks,G,5,3,1,1,121,10,1.98,0.917,0,0,0,0,304,
Thatcher Demko,2020,Canucks,G,50,24,13,9,1311,115,2.44,0.912,0,0,0,0,2833,
